"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"69705","1876-07-10",1915,"Male",24,"ostatni","ne",1
"69706","1924-02-07",2015,"Male",24,"ostatni","ne",1
"69707","1929-12-05",2003,"Male",23,"ostatni","ne",1
"69708","1904-07-29",1976,"Male",24,"ostatni","ne",1
"69709","1975-01-28",NA,"Male",21,"do_22","ano",0
"69710","1929-08-12",NA,"Male",23,"ostatni","ano",0
"69711","1943-12-01",NA,"Male",25,"ostatni","ne",0
"69712","1938-03-31",NA,"Male",26,"ostatni","ne",0
"69713","1921-05-01",2012,"Male",27,"26+","ne",1
"69714","1960-01-07",NA,"Male",28,"26+","ne",0
"69715","1912-06-18",1974,"Male",24,"ostatni","ano",1
"69716","1935-04-27",NA,"Male",25,"ostatni","ano",0
"69717","1888-09-02",1968,"Male",20,"do_22","ne",1
"69718","1935-10-15",NA,"Male",21,"do_22","ano",0
"69719","1935-01-23",NA,"Male",29,"26+","ne",0
"69720","1955-08-31",NA,"Male",21,"do_22","ano",0
"69721","1876-04-07",1945,"Male",28,"26+","ano",1
"69722","1884-06-13",1937,"Male",24,"ostatni","ne",1
"69723","1891-12-10",1967,"Male",21,"do_22","ne",1
"69724","1881-08-10",NA,"Male",27,"26+","ne",0
"69725","1933-01-07",NA,"Male",27,"26+","ne",0
"69726","1891-02-19",1958,"Male",21,"do_22","ne",1
"69727","1901-06-12",1962,"Male",19,"do_22","ano",1
"69728","1884-05-19",1953,"Male",20,"do_22","ano",1
"69729","1933-02-06",1994,"Male",23,"ostatni","ano",1
"69730","1898-12-17",1979,"Male",22,"ostatni","ano",1
"69731","1889-09-21",1980,"Male",23,"ostatni","ano",1
"69732","1895-03-23",1972,"Male",25,"ostatni","ne",1
"69733","1935-11-21",NA,"Male",25,"ostatni","ne",0
"69734","1894-05-15",1973,"Male",26,"ostatni","ano",1
"69735","1949-06-04",NA,"Male",19,"do_22","ne",0
"69736","1964-06-25",NA,"Male",28,"26+","ne",0
"69737","1896-12-18",1978,"Male",24,"ostatni","ano",1
"69738","1956-03-10",NA,"Male",20,"do_22","ano",0
"69739","1968-07-11",NA,"Male",24,"ostatni","ne",0
"69740","1887-05-22",1970,"Male",21,"do_22","ano",1
"69741","1945-11-24",NA,"Male",23,"ostatni","ne",0
